"x","y"
696.207186808838,125.737605983117
681.081878893682,117.801155586012
685.552081719316,146.144344351176
708.822329847041,137.992916098011
673.562882917825,148.67036184955
702.879727921936,142.134115258515
666.992655580434,147.710361704615
710.950433461277,133.697912847159
727.395051591814,140.774434872917
701.967696112135,145.312517168207
684.308670362685,153.864314837203
691.345306724621,145.036771245667
696.953919651334,133.902914197023
690.247144729824,149.130033844003
710.692704440725,143.177230472985
706.713605421122,143.271499148437
719.79911229762,128.126703593598
686.841264576035,153.063011757206
716.454278642462,147.358855903855
694.493661106437,144.298076470576
701.016029486916,139.990632668344
812.221745354434,367.878411194116
817.448067121939,340.388178539858
807.797914743066,347.187993780789
823.568405248388,383.293083548768
837.38340647053,350.362721994099
817.838279151608,353.521938784733
806.582862952817,355.021908594879
777.555073083754,324.564746045772
818.187719972457,348.700988792288
799.693531801444,353.443829327523
834.818943474326,357.799710935997
801.669114779191,343.684997379382
812.392355479629,364.853383516123
800.184105810576,348.740105263426
815.180624132736,342.517121813992
835.96917431416,347.715441037863
818.530226730273,361.775756899822
828.003834103799,350.80051257849
807.8866486403,346.567794000418
821.285900692219,353.300327535014
824.894919705876,343.543564946773
820.949257994171,326.506537285913
826.785148088036,369.363857084538
785.265844262938,365.196258144746
817.007867307247,347.120201809941
822.684758805627,366.010761161444
816.732801344931,362.524473162835
435.305009537538,217.339225658014
445.796759113064,197.773529859677
470.636009227909,215.794133053137
430.926329445823,183.670110689826
438.430455747136,209.091047637253
448.605130063843,225.096247224844
450.845929219744,225.964097080674
435.93099597348,228.062090313894
455.825486164065,239.458132423022
433.534693049371,217.070723892014
423.895299511969,213.267206638277
456.457133046665,225.598342384448
435.872178492672,205.705340726013
444.876943382235,200.704500351832
447.694968623776,206.09583685246
442.34050920618,233.508691699467
443.470785254902,199.229638223961
445.327102167903,204.827628184444
441.743739501814,778.410629318254
461.806382605274,784.146334719765
398.912616434621,763.605644568062
433.186273294255,739.496555002112
443.435348192212,762.994704683246
444.822683249004,757.022299737602
445.002132357838,786.86335067475
453.295170808422,766.977793994741
434.249595646588,788.888926539683
410.75015132932,764.408113605392
427.332888600213,782.758617715598
400.694002162758,781.521675952752
426.593529472207,766.815148335133
413.845635852529,764.483100155845
427.396444791475,771.284596027145
407.389861677759,763.313765043281
542.023401273746,706.933937038807
562.214825618729,725.72559066883
540.080211744432,738.17817317995
549.860556447944,755.245148126125
570.099587512761,719.76671971692
567.121472559376,708.124796722065
555.435509114569,714.025027329314
561.343389109815,726.210445099732
532.24140142665,743.094224049533
542.189312227826,727.756329401361
548.516443525087,741.462563069646
552.862315019083,735.386989660396
572.249647732729,736.964447017977
548.977516407833,733.881376716641
592.108181221189,735.819328632425
552.174183476734,729.394235187667
563.689383758786,720.852079925164
538.329343339611,717.252671487383
572.887855680311,755.568656985222
543.871712578499,727.891329075866
567.814301567643,722.211496066154
537.957381745986,729.388024595604
546.095116053143,712.909097476991
579.137273479975,723.106015146032
543.15656456845,719.141460861616
568.544739965656,719.427949352246
550.521589895038,746.123762553603
391.604403612713,675.818207081758
400.655751059726,710.453035483051
429.1989099917,717.50074020887
391.482309415618,702.240840534651
387.290926423402,720.540060636735
380.095574570453,692.685470872996
407.234309956037,712.190319209602
401.473972035904,710.275786283755
420.849856842747,681.281491710198
390.066916272641,692.520355607398
394.852852606361,681.400795029773
